,Prompt,Correct Object,GPT-reply,Status
145,"Gordie Howe:(1928-03-31)::Matthew Shepard:X; X is
1) 1946-10-14
2) 1966-04-22
3) 1926-10-18
4) 1976-12-01",1976-12-01,2) 1966-04-22,False
146,"Matthew Shepard:(1976-12-01)::Christiane Amanpour:X; X is
1) 1967-06-20
2) 1898-04-09
3) 1968-05-25
4) 1958-01-12",1958-01-12,4) 1958-01-12,True
147,"Christiane Amanpour:(1958-01-12)::Conrad M Black:X; X is
1) 1944-08-25
2) 1888-09-26
3) 1948-12-03
4) 1961-02-10",1944-08-25,3) 1948-12-03,False
148,"Conrad M Black:(1944-08-25)::Elie Wiesel:X; X is
1) 1950-02-10
2) 1942-03-07
3) 1923-02-25
4) 1928-09-09",1928-09-09,3) 1923-02-25,False
149,"Elie Wiesel:(1928-09-09)::Alan J Pakula:X; X is
1) 1961-10-14
2) 1928-04-07
3) 1948-01-27
4) 1961-07-23",1928-04-07,2) 1928-04-07,True
150,"Alan J Pakula:(1928-04-07)::Cathy Horyn:X; X is
1) 1946-10-14
2) 1967-02-20
3) 1928-01-02
4) 1956-09-11",1956-09-11,1) 1946-10-14,False
151,"Cathy Horyn:(1956-09-11)::Bonnie Raitt:X; X is
1) 1941-09-28
2) 1939-11-20
3) 1949-11-08
4) 1975-05-02",1949-11-08,3) 1949-11-08,True
152,"Bonnie Raitt:(1949-11-08)::Mark Calcavecchia:X; X is
1) 1960-06-12
2) 1955-10-07
3) 1923-12-21
4) 1960-01-12",1960-06-12,1) 1960-06-12,True
153,"Mark Calcavecchia:(1960-06-12)::Thomas Keneally:X; X is
1) 1946-12-14
2) 1960-08-04
3) 1970-11-09
4) 1935-10-07",1935-10-07,4) 1935-10-07,True
154,"Thomas Keneally:(1935-10-07)::Gene C McKinney:X; X is
1) 1950-11-03
2) 1960-09-05
3) 1974-11-22
4) 1915-06-05",1950-11-03,1) 1950-11-03,True
155,"Gene C McKinney:(1950-11-03)::Ari L Goldman:X; X is
1) 1944-05-14
2) 1940-07-23
3) 1917-09-07
4) 1949-01-01",1949-01-01,1) 1944-05-14,False
156,"Ari L Goldman:(1949-01-01)::Henry Ford:X; X is
1) 1943-09-23
2) 1863-07-30
3) 1949-08-12
4) 1933-08-20",1863-07-30,2) 1863-07-30,True
157,"Henry Ford:(1863-07-30)::Tommy R Franks:X; X is
1) 1945-06-17
2) 1936-02-25
3) 1970-05-18
4) 1946-10-14",1945-06-17,1) 1945-06-17,True
158,"Tommy R Franks:(1945-06-17)::Wellington Mara:X; X is
1) 1984-01-18
2) 1928-02-01
3) 1958-01-26
4) 1916-08-14",1916-08-14,4) 1916-08-14,True
159,"Wellington Mara:(1916-08-14)::Michael D Eisner:X; X is
1) 1970-11-06
2) 1949-05-23
3) 1964-01-01
4) 1942-03-07",1942-03-07,4) 1942-03-07,True
160,"Michael D Eisner:(1942-03-07)::Rick D Husband:X; X is
1) 1958-11-22
2) 1935-06-25
3) 1957-07-12
4) 1946-07-22",1957-07-12,1) 1958-11-22,False
161,"Rick D Husband:(1957-07-12)::Tom Lantos:X; X is
1) 1946-10-08
2) 1927-10-11
3) 1928-02-01
4) 1946-12-14",1928-02-01,3) 1928-02-01,True
162,"Tom Lantos:(1928-02-01)::Sam Shepard:X; X is
1) 1979-01-16
2) 1961-03-26
3) 1941-10-16
4) 1955-06-16",1979-01-16,3) 1941-10-16,False
163,"Sam Shepard:(1979-01-16)::Joseph W Prueher:X; X is
1) 1947-06-20
2) 1945-12-20
3) 1942-11-25
4) 1941-10-16",1942-11-25,2) 1945-12-20,False
164,"Joseph W Prueher:(1942-11-25)::Diana Ross:X; X is
1) 1862-08-22
2) 1948-03-12
3) 1933-06-17
4) 1944-03-26",1944-03-26,2) 1948-03-12,False
165,"Diana Ross:(1944-03-26)::Anja Paerson:X; X is
1) 1954-05-20
2) 1948-05-17
3) 1981-04-25
4) 1931-05-27",1981-04-25,3) 1981-04-25,True
166,"Anja Paerson:(1981-04-25)::Jason Kidd:X; X is
1) 1965-02-07
2) 1973-06-12
3) 1973-03-23
4) 1957-08-09",1973-03-23,2) 1973-06-12,False
167,"Jason Kidd:(1973-03-23)::Murray Sabrin:X; X is
1) 1950-01-20
2) 1953-06-10
3) 1961-02-10
4) 1946-12-21",1946-12-21,2) 1953-06-10,False
168,"Murray Sabrin:(1946-12-21)::Allen Iverson:X; X is
1) 1975-06-07
2) 1956-05-23
3) 1942-03-07
4) 1936-11-19",1975-06-07,1) 1975-06-07,True
169,"Allen Iverson:(1975-06-07)::Steve Strunsky:X; X is
1) 1946-12-14
2) 1945-08-04
3) 1923-01-01
4) 1974-07-12",1923-01-01,"The context of the question is not clear. The desired format of the answer appears to be a date, matching the format of the provided birthdate for Allen Iverson. However, without knowledge of who Steve Strunsky is and his birthdate, it's impossible to determine the correct answer. Please provide more context.",False
170,"Steve Strunsky:(1923-01-01)::Michael Ovitz:X; X is
1) 1954-06-20
2) 1946-12-14
3) 1915-10-30
4) 1982-06-01",1946-12-14,2) 1946-12-14,True
171,"Michael Ovitz:(1946-12-14)::Robin Cook:X; X is
1) 1961-08-04
2) 1937-01-18
3) 1947-04-12
4) 1946-02-28",1946-02-28,2) 1937-01-18,False
172,"Robin Cook:(1946-02-28)::Antonin Scalia:X; X is
1) 1882-01-18
2) 1945-10-19
3) 1936-03-11
4) 1956-06-09",1936-03-11,3) 1936-03-11,True
173,"Antonin Scalia:(1936-03-11)::Elian Gonzalez:X; X is
1) 1923-05-27
2) 1941-06-05
3) 1923-04-21
4) 1993-12-06",1993-12-06,4) 1993-12-06,True
174,"Elian Gonzalez:(1993-12-06)::Jerome Kerviel:X; X is
1) 1977-01-11
2) 1917-09-25
3) 1955-11-06
4) 1941-10-25",1977-01-11,1) 1977-01-11,True
175,"Jerome Kerviel:(1977-01-11)::Wade Boggs:X; X is
1) 1891-06-09
2) 1884-02-12
3) 1958-06-15
4) 1922-12-28",1958-06-15,3) 1958-06-15,True
176,"Wade Boggs:(1958-06-15)::Itamar Franco:X; X is
1) 1950-10-27
2) 1940-09-20
3) 1962-12-24
4) 1930-06-28",1930-06-28,4) 1930-06-28,True
177,"Itamar Franco:(1930-06-28)::Jim Fassel:X; X is
1) 1922-11-11
2) 1938-03-02
3) 1960-11-10
4) 1949-08-31",1949-08-31,2) 1938-03-02,False
178,"Jim Fassel:(1949-08-31)::Julianne Moore:X; X is
1) 1943-12-19
2) 1925-10-27
3) 1960-12-03
4) 1947-02-18",1960-12-03,3) 1960-12-03,True
179,"Julianne Moore:(1960-12-03)::Frank Zappa:X; X is
1) 1940-12-21
2) 1943-10-15
3) 1960-01-13
4) 1944-01-01",1940-12-21,2) 1943-10-15,False
180,"Frank Zappa:(1940-12-21)::Benicio Del Toro:X; X is
1) 1945-11-12
2) 1959-08-17
3) 1961-11-02
4) 1967-02-19",1967-02-19,2) 1959-08-17,False
181,"Benicio Del Toro:(1967-02-19)::Ernesto Samper:X; X is
1) 1962-10-23
2) 1950-08-03
3) 1937-06-13
4) 1941-09-28",1950-08-03,2) 1950-08-03,True
182,"Ernesto Samper:(1950-08-03)::Mike Hampton:X; X is
1) 1972-09-09
2) 1948-03-12
3) 1977-02-13
4) 1923-01-01",1972-09-09,1) 1972-09-09,True
183,"Mike Hampton:(1972-09-09)::George J Mitchell:X; X is
1) 1963-06-25
2) 1933-08-20
3) 1954-08-17
4) 1971-09-18",1933-08-20,2) 1933-08-20,True
184,"George J Mitchell:(1933-08-20)::Lawrence S Eagleburger:X; X is
1) 1930-08-01
2) 1968-02-14
3) 1958-01-12
4) 1928-05-29",1930-08-01,4) 1928-05-29,False
185,"Lawrence S Eagleburger:(1930-08-01)::Idi Amin:X; X is
1) 1955-02-21
2) 1968-02-14
3) 1925-01-01
4) 1958-11-22",1925-01-01,3) 1925-01-01,True
186,"Idi Amin:(1925-01-01)::John A Thain:X; X is
1) 1942-12-26
2) 1974-08-21
3) 1920-03-20
4) 1955-05-26",1955-05-26,1) 1942-12-26,False
187,"John A Thain:(1955-05-26)::Gene Kelly:X; X is
1) 1932-01-01
2) 1944-02-20
3) 1912-08-23
4) 1941-06-12",1912-08-23,3) 1912-08-23,True
188,"Gene Kelly:(1912-08-23)::Susan Stroman:X; X is
1) 1954-10-17
2) 1942-06-18
3) 1969-04-15
4) 1975-10-29",1954-10-17,2) 1942-06-18,False
189,"Susan Stroman:(1954-10-17)::Chuck Haytaian:X; X is
1) 1938-01-28
2) 1934-06-05
3) 1935-01-08
4) 1961-11-02",1938-01-28,1) 1938-01-28,True
190,"Chuck Haytaian:(1938-01-28)::Arthur Hertzberg:X; X is
1) 1947-07-28
2) 1946-10-08
3) 1961-10-22
4) 1921-06-09",1921-06-09,4) 1921-06-09,True
191,"Arthur Hertzberg:(1921-06-09)::Abu Musab al- Zarqawi:X; X is
1) 1966-10-30
2) 1954-10-11
3) 1922-12-28
4) 1948-01-20",1966-10-30,2) 1954-10-11,False
192,"Abu Musab al- Zarqawi:(1966-10-30)::Don Henley:X; X is
1) 1947-07-22
2) 1937-10-04
3) 1975-06-25
4) 1949-12-06",1947-07-22,1) 1947-07-22,True
193,"Don Henley:(1947-07-22)::David Ortiz:X; X is
1) 1975-11-18
2) 1953-10-12
3) 1945-03-29
4) 1962-03-21",1975-11-18,1) 1975-11-18,True
194,"David Ortiz:(1975-11-18)::Igor Stravinsky:X; X is
1) 1961-09-23
2) 1882-06-17
3) 1930-01-23
4) 1942-03-29",1882-06-17,2) 1882-06-17,True
195,"Igor Stravinsky:(1882-06-17)::David Blunkett:X; X is
1) 1946-02-24
2) 1940-08-11
3) 1947-06-06
4) 1971-09-18",1947-06-06,2) 1947-06-06,True
196,"David Blunkett:(1947-06-06)::Alan R Mulally:X; X is
1) 1945-08-04
2) 1901-06-24
3) 1940-06-22
4) 1979-01-16",1945-08-04,1) 1945-08-04,True
197,"Alan R Mulally:(1945-08-04)::M Night Shyamalan:X; X is
1) 1970-08-06
2) 1926-08-15
3) 1942-01-08
4) 1941-04-07",1970-08-06,1) 1970-08-06,True
198,"M Night Shyamalan:(1970-08-06)::Golan Cipel:X; X is
1) 1955-08-02
2) 1968-01-01
3) 1863-07-30
4) 1941-06-12",1968-01-01,2) 1968-01-01,True
199,"Golan Cipel:(1968-01-01)::Michael Ratner:X; X is
1) 1950-09-21
2) 1960-07-17
3) 1943-01-01
4) 1955-02-08",1943-01-01,3) 1943-01-01,True
200,"Michael Ratner:(1943-01-01)::Neil Young:X; X is
1) 1977-04-14
2) 1939-07-26
3) 1945-11-12
4) 1954-08-17",1945-11-12,3) 1945-11-12,True
201,"Neil Young:(1945-11-12)::Samuel III Israel:X; X is
1) 1836-10-18
2) 1959-07-20
3) 1923-12-21
4) 1969-11-30",1959-07-20,2) 1959-07-20,True
202,"Samuel III Israel:(1959-07-20)::Steven Spielberg:X; X is
1) 1953-09-05
2) 1749-08-28
3) 1946-12-18
4) 1970-05-18",1946-12-18,3) 1946-12-18,True
203,"Steven Spielberg:(1946-12-18)::Joseph E Persico:X; X is
1) 1946-09-26
2) 1967-01-08
3) 1930-07-19
4) 1980-06-17",1930-07-19,3) 1930-07-19,True
204,"Joseph E Persico:(1930-07-19)::Mike Ditka:X; X is
1) 1939-10-18
2) 1956-05-23
3) 1946-10-08
4) 1951-11-06",1939-10-18,1) 1939-10-18,True
205,"Mike Ditka:(1939-10-18)::Thereza Imanishi-Kari:X; X is
1) 1961-10-14
2) 1960-11-10
3) 1935-09-02
4) 1943-01-01",1943-01-01,4) 1943-01-01,True
206,"Thereza Imanishi-Kari:(1943-01-01)::Raoul Wallenberg:X; X is
1) 1949-03-28
2) 1958-03-20
3) 1913-08-04
4) 1937-07-12",1913-08-04,3) 1913-08-04,True
207,"Raoul Wallenberg:(1913-08-04)::Bill Irwin:X; X is
1) 1934-06-05
2) 1955-02-21
3) 1923-07-11
4) 1950-04-11",1950-04-11,1) 1934-06-05,False
208,"Bill Irwin:(1950-04-11)::Jeromy Burnitz:X; X is
1) 1969-04-15
2) 1951-10-29
3) 1943-11-07
4) 1967-01-01",1969-04-15,1) 1969-04-15,True
209,"Jeromy Burnitz:(1969-04-15)::Anne M Mulcahy:X; X is
1) 1967-05-31
2) 1960-04-04
3) 1952-10-21
4) 1943-07-22",1952-10-21,3) 1952-10-21,True
210,"Anne M Mulcahy:(1952-10-21)::Anne Teresa de Keersmaeker:X; X is
1) 1960-01-01
2) 1935-06-25
3) 1954-06-20
4) 1953-01-01",1960-01-01,1) 1960-01-01,True
211,"Anne Teresa de Keersmaeker:(1960-01-01)::Andre Dubus:X; X is
1) 1924-06-03
2) 1936-08-11
3) 1632-10-31
4) 1946-09-22",1936-08-11,1) 1924-06-03,False
212,"Andre Dubus:(1936-08-11)::Elvis Presley:X; X is
1) 1969-03-09
2) 1968-08-05
3) 1954-01-25
4) 1935-01-08",1935-01-08,4) 1935-01-08,True
213,"Elvis Presley:(1935-01-08)::Russell Simmons:X; X is
1) 1939-07-26
2) 1904-11-17
3) 1934-07-26
4) 1957-10-04",1957-10-04,4) 1957-10-04,True
214,"Russell Simmons:(1957-10-04)::Jan-Michael Gambill:X; X is
1) 1961-08-04
2) 1977-06-03
3) 1968-09-07
4) 1951-05-21",1977-06-03,2) 1977-06-03,True
215,"Jan-Michael Gambill:(1977-06-03)::Phil Mickelson:X; X is
1) 1970-06-16
2) 1965-09-07
3) 1949-09-19
4) 1968-09-07",1970-06-16,1) 1970-06-16,True
216,"Phil Mickelson:(1970-06-16)::Alan S Blinder:X; X is
1) 1917-06-07
2) 1963-06-09
3) 1954-07-25
4) 1945-10-14",1945-10-14,4) 1945-10-14,True
217,"Alan S Blinder:(1945-10-14)::L Jay Oliva:X; X is
1) 1942-03-22
2) 1890-10-02
3) 1933-04-03
4) 1933-09-23",1933-09-23,3) 1933-04-03,False
218,"L Jay Oliva:(1933-09-23)::John Harbison:X; X is
1) 1937-10-04
2) 1928-07-26
3) 1933-04-03
4) 1938-12-20",1938-12-20,4) 1938-12-20,True
219,"John Harbison:(1938-12-20)::Robert S III Mueller:X; X is
1) 1942-06-24
2) 1953-01-23
3) 1968-09-28
4) 1944-08-07",1944-08-07,1) 1942-06-24,False
220,"Robert S III Mueller:(1944-08-07)::Emanuel Ax:X; X is
1) 1985-06-09
2) 1941-09-22
3) 1949-06-08
4) 1954-01-25",1949-06-08,2) 1941-09-22,False
221,"Emanuel Ax:(1949-06-08)::Dan Dorfman:X; X is
1) 1972-10-16
2) 1929-09-08
3) 1931-10-24
4) 1974-12-21",1931-10-24,"This question seems to be asking for the birth date of Dan Dorfman. However, without the known birth date of this person, it is impossible to choose the correct answer.",False
222,"Dan Dorfman:(1931-10-24)::Ali Saleh Kahlah al- Marri:X; X is
1) 1971-11-11
2) 1970-12-01
3) 1965-10-05
4) 1966-01-01",1966-01-01,1) 1971-11-11,False
223,"Ali Saleh Kahlah al- Marri:(1966-01-01)::Patrick E Tyler:X; X is
1) 1951-11-06
2) 1972-02-14
3) 1960-07-17
4) 1901-12-05",1951-11-06,1) 1951-11-06,True
224,"Patrick E Tyler:(1951-11-06)::Lee P Brown:X; X is
1) 1901-12-05
2) 1812-02-07
3) 1939-07-12
4) 1937-10-04",1937-10-04,3) 1939-07-12,False
225,"Lee P Brown:(1937-10-04)::Billy Crudup:X; X is
1) 1968-07-08
2) 1945-12-05
3) 1966-10-27
4) 1938-11-02",1968-07-08,1) 1968-07-08,True
226,"Billy Crudup:(1968-07-08)::Charles Dickens:X; X is
1) 1812-02-07
2) 1958-08-30
3) 1963-06-26
4) 1975-06-07",1812-02-07,1) 1812-02-07,True
227,"Charles Dickens:(1812-02-07)::Marcello Mastroianni:X; X is
1) 1953-12-09
2) 1948-08-19
3) 1924-09-28
4) 1948-01-01",1924-09-28,3) 1924-09-28,True
228,"Marcello Mastroianni:(1924-09-28)::Johann Wolfgang von Goethe:X; X is
1) 1931-10-20
2) 1749-08-28
3) 1977-02-20
4) 1934-01-16",1749-08-28,2) 1749-08-28,True
229,"Johann Wolfgang von Goethe:(1749-08-28)::Rudy Tomjanovich:X; X is
1) 1948-11-24
2) 1941-05-19
3) 1963-08-09
4) 1958-03-20",1948-11-24,1) 1948-11-24,True
230,"Rudy Tomjanovich:(1948-11-24)::Marcia Angell:X; X is
1) 1950-11-03
2) 1949-06-19
3) 1939-04-20
4) 1898-07-22",1939-04-20,3) 1939-04-20,True
231,"Marcia Angell:(1939-04-20)::Sergi Bruguera:X; X is
1) 1957-01-30
2) 1971-01-16
3) 1977-02-20
4) 1961-11-04",1971-01-16,2) 1971-01-16,True
232,"Sergi Bruguera:(1971-01-16)::Lionel Tate:X; X is
1) 1943-09-25
2) 1972-01-28
3) 1987-01-30
4) 1975-06-25",1987-01-30,3) 1987-01-30,True
233,"Lionel Tate:(1987-01-30)::Mortimer B Zuckerman:X; X is
1) 1960-12-03
2) 1888-07-23
3) 1937-06-04
4) 1949-01-12",1937-06-04,3) 1937-06-04,True
234,"Mortimer B Zuckerman:(1937-06-04)::Lou Reed:X; X is
1) 1930-07-11
2) 1940-10-20
3) 1942-03-02
4) 1960-09-06",1942-03-02,2) 1940-10-20,False
235,"Lou Reed:(1942-03-02)::Uma Thurman:X; X is
1) 1953-01-24
2) 1973-03-01
3) 1960-11-10
4) 1970-04-29",1970-04-29,4) 1970-04-29,True
236,"Uma Thurman:(1970-04-29)::Emmitt Smith:X; X is
1) 1929-09-08
2) 1914-04-04
3) 1925-12-02
4) 1969-05-15",1969-05-15,4) 1969-05-15,True
237,"Emmitt Smith:(1969-05-15)::Venus Williams:X; X is
1) 1977-02-20
2) 1959-12-13
3) 1963-05-10
4) 1980-06-17",1980-06-17,1) 1977-02-20,False
238,"Venus Williams:(1980-06-17)::Christopher R Hill:X; X is
1) 1952-01-01
2) 1950-01-21
3) 1919-07-15
4) 1946-06-14",1952-01-01,2) 1950-01-21,False
239,"Christopher R Hill:(1952-01-01)::William Faulkner:X; X is
1) 1961-06-09
2) 1954-04-12
3) 1897-09-25
4) 1974-07-12",1897-09-25,3) 1897-09-25,True
240,"William Faulkner:(1897-09-25)::Jaromir Jagr:X; X is
1) 1927-10-16
2) 1972-02-15
3) 1949-06-02
4) 1952-11-06",1972-02-15,2) 1972-02-15,True
241,"Jaromir Jagr:(1972-02-15)::Stephanie Flanders:X; X is
1) 1925-12-02
2) 1968-08-05
3) 1947-06-01
4) 1928-12-16",1968-08-05,2) 1968-08-05,True
242,"Stephanie Flanders:(1968-08-05)::Lou Piniella:X; X is
1) 1950-10-27
2) 1943-08-28
3) 1946-02-13
4) 1947-04-22",1943-08-28,2) 1943-08-28,True
243,"Lou Piniella:(1943-08-28)::Iris Murdoch:X; X is
1) 1941-10-05
2) 1958-05-29
3) 1941-10-16
4) 1919-07-15",1919-07-15,4) 1919-07-15,True
244,"Iris Murdoch:(1919-07-15)::Kenny Lofton:X; X is
1) 1967-05-31
2) 1926-05-26
3) 1990-10-24
4) 1950-09-21",1967-05-31,1) 1967-05-31,True
245,"Kenny Lofton:(1967-05-31)::R Kelly:X; X is
1) 1924-11-24
2) 1972-02-14
3) 1967-01-08
4) 1946-07-06",1967-01-08,2) 1972-02-14,False
246,"R Kelly:(1967-01-08)::Warren Beatty:X; X is
1) 1942-06-18
2) 1937-03-30
3) 1924-01-31
4) 1950-01-01",1937-03-30,2) 1937-03-30,True
247,"Warren Beatty:(1937-03-30)::Padraig Harrington:X; X is
1) 1971-08-31
2) 1963-03-19
3) 1947-06-06
4) 1941-01-01",1971-08-31,1) 1971-08-31,True
248,"Padraig Harrington:(1971-08-31)::Alejandro Toledo:X; X is
1) 1945-03-28
2) 1976-09-10
3) 1961-03-26
4) 1943-05-31",1945-03-28,1) 1945-03-28,True
249,"Alejandro Toledo:(1945-03-28)::Payne Stewart:X; X is
1) 1939-04-02
2) 1954-07-25
3) 1975-10-29
4) 1957-01-30",1957-01-30,2) 1954-07-25,False
250,"Payne Stewart:(1957-01-30)::Nicholas Hytner:X; X is
1) 1942-03-02
2) 1943-02-03
3) 1950-09-10
4) 1956-05-07",1956-05-07,2) 1943-02-03,False
251,"Nicholas Hytner:(1956-05-07)::Stephen E Ambrose:X; X is
1) 1959-12-30
2) 1971-11-11
3) 1936-01-10
4) 1947-02-21",1936-01-10,3) 1936-01-10,True
252,"Stephen E Ambrose:(1936-01-10)::Viktor F Yanukovich:X; X is
1) 1951-12-28
2) 1965-10-06
3) 1950-07-09
4) 1920-10-31",1950-07-09,1) 1951-12-28,False
253,"Viktor F Yanukovich:(1950-07-09)::Nikolaus Harnoncourt:X; X is
1) 1944-01-01
2) 1950-04-04
3) 1929-12-06
4) 1941-05-19",1929-12-06,3) 1929-12-06,True
254,"Nikolaus Harnoncourt:(1929-12-06)::Isaac Bashevis Singer:X; X is
1) 1902-11-21
2) 1931-03-11
3) 1867-06-08
4) 1937-06-01",1902-11-21,1) 1902-11-21,True
255,"Isaac Bashevis Singer:(1902-11-21)::Charles Gibson:X; X is
1) 1943-03-09
2) 1926-07-08
3) 1972-09-09
4) 1939-04-14",1943-03-09,2) 1943-03-09,True
256,"Charles Gibson:(1943-03-09)::Diane Sawyer:X; X is
1) 1945-12-22
2) 1939-05-04
3) 1956-07-31
4) 1948-02-06",1945-12-22,1) 1945-12-22,True
257,"Diane Sawyer:(1945-12-22)::Tim Tebow:X; X is
1) 1947-06-06
2) 1912-08-15
3) 1947-10-24
4) 1987-08-14",1987-08-14,4) 1987-08-14,True
258,"Tim Tebow:(1987-08-14)::Jeff Bridges:X; X is
1) 1927-01-17
2) 1942-10-15
3) 1949-12-04
4) 1882-06-17",1949-12-04,2) 1949-12-04,True
259,"Jeff Bridges:(1949-12-04)::Daniel E Lungren:X; X is
1) 1963-03-18
2) 1961-01-01
3) 1946-09-22
4) 1958-12-31",1946-09-22,3) 1946-09-22,True
260,"Daniel E Lungren:(1946-09-22)::David E Kelley:X; X is
1) 1956-04-04
2) 1943-03-26
3) 1971-07-19
4) 1939-12-16",1956-04-04,1) 1956-04-04,True
261,"David E Kelley:(1956-04-04)::Gary L Bauer:X; X is
1) 1986-11-22
2) 1946-07-04
3) 1946-05-04
4) 1926-09-23",1946-05-04,2) 1946-07-04,False
262,"Gary L Bauer:(1946-05-04)::Mary Robinson:X; X is
1) 1968-05-25
2) 1944-05-21
3) 1949-10-06
4) 1962-03-01",1944-05-21,2) 1944-05-21,True
263,"Mary Robinson:(1944-05-21)::Usain Bolt:X; X is
1) 1969-05-27
2) 1986-08-21
3) 1934-05-09
4) 1942-01-17",1986-08-21,2) 1986-08-21,True
264,"Usain Bolt:(1986-08-21)::Allen Ginsberg:X; X is
1) 1925-10-21
2) 1946-02-28
3) 1960-07-05
4) 1926-06-03",1926-06-03,4) 1926-06-03,True
265,"Allen Ginsberg:(1926-06-03)::Burhanuddin Rabbani:X; X is
1) 1856-05-06
2) 1967-12-15
3) 1940-09-20
4) 1939-10-28",1940-09-20,4) 1939-10-28,False
266,"Burhanuddin Rabbani:(1940-09-20)::Adrien Brody:X; X is
1) 1931-02-06
2) 1946-08-16
3) 1973-04-14
4) 1945-12-22",1973-04-14,3) 1973-04-14,True
267,"Adrien Brody:(1973-04-14)::Awilda Lopez:X; X is
1) 1951-12-28
2) 1961-11-02
3) 1943-09-17
4) 1989-02-11",1989-02-11,"The information given does not allow to determine Awilda Lopez's birth date, so it is impossible to choose a correct option.",False
268,"Awilda Lopez:(1989-02-11)::Sergey Brin:X; X is
1) 1929-09-08
2) 1949-06-19
3) 1973-08-21
4) 1964-06-18",1973-08-21,3) 1973-08-21,True
269,"Sergey Brin:(1973-08-21)::Michael Schiavo:X; X is
1) 1963-12-03
2) 1962-10-19
3) 1942-04-04
4) 1954-01-25",1963-12-03,2) 1962-10-19,False
270,"Michael Schiavo:(1963-12-03)::Souad Mekhennet:X; X is
1) 1908-11-20
2) 1959-06-10
3) 1749-08-28
4) 1978-01-01",1978-01-01,4) 1978-01-01,True
271,"Souad Mekhennet:(1978-01-01)::Garry Wills:X; X is
1) 1945-06-25
2) 1934-05-22
3) 1955-08-04
4) 1849-01-22",1934-05-22,2) 1934-05-22,True
272,"Garry Wills:(1934-05-22)::Lisa Marie Nowak:X; X is
1) 1976-12-01
2) 1963-05-10
3) 1937-07-12
4) 1920-10-31",1963-05-10,2) 1963-05-10,True
273,"Lisa Marie Nowak:(1963-05-10)::Andrew Sullivan:X; X is
1) 1985-06-09
2) 1963-08-10
3) 1942-06-24
4) 1941-10-25",1963-08-10,2) 1963-08-10,True
274,"Andrew Sullivan:(1963-08-10)::Jon Robin Baitz:X; X is
1) 1947-10-24
2) 1961-11-04
3) 1944-10-15
4) 1948-01-01",1961-11-04,2) 1961-11-04,True
275,"Jon Robin Baitz:(1961-11-04)::Walter Payton:X; X is
1) 1954-07-25
2) 1980-01-25
3) 1922-07-25
4) 1931-01-16",1954-07-25,1) 1954-07-25,True
276,"Walter Payton:(1954-07-25)::Jane Jacobs:X; X is
1) 1960-01-01
2) 1916-05-04
3) 1976-10-19
4) 1952-12-15",1916-05-04,2) 1916-05-04,True
277,"Jane Jacobs:(1916-05-04)::Jared Bernstein:X; X is
1) 1951-11-06
2) 1974-12-21
3) 1901-06-24
4) 1955-01-01",1955-01-01,1) 1951-11-06,False
278,"Jared Bernstein:(1955-01-01)::Derek Bok:X; X is
1) 1958-05-04
2) 1930-03-22
3) 1968-02-14
4) 1987-08-14",1930-03-22,2) 1930-03-22,True
279,"Derek Bok:(1930-03-22)::Matthew Broderick:X; X is
1) 1968-08-05
2) 1962-03-21
3) 1882-01-18
4) 1968-07-03",1962-03-21,2) 1962-03-21,True
280,"Matthew Broderick:(1962-03-21)::Kate Winslet:X; X is
1) 1923-05-01
2) 1939-05-25
3) 1975-10-05
4) 1922-07-25",1975-10-05,3) 1975-10-05,True
281,"Kate Winslet:(1975-10-05)::Mo Vaughn:X; X is
1) 1955-02-24
2) 1966-10-30
3) 1940-04-28
4) 1967-12-15",1967-12-15,2) 1966-10-30,False
282,"Mo Vaughn:(1967-12-15)::Rufus Wainwright:X; X is
1) 1961-08-13
2) 1973-07-22
3) 1931-03-11
4) 1926-01-06",1973-07-22,2) 1973-07-22,True
283,"Rufus Wainwright:(1973-07-22)::Lennox Lewis:X; X is
1) 1952-04-01
2) 1967-07-14
3) 1964-12-10
4) 1965-09-02",1965-09-02,2) 1967-07-14,False
284,"Lennox Lewis:(1965-09-02)::Ethan Hawke:X; X is
1) 1970-11-06
2) 1950-07-09
3) 1945-12-06
4) 1968-08-23",1970-11-06,1) 1970-11-06,True
285,"Ethan Hawke:(1970-11-06)::Jesse Gelsinger:X; X is
1) 1981-06-18
2) 1955-02-08
3) 1947-07-30
4) 1967-08-20",1981-06-18,1) 1981-06-18,True
286,"Jesse Gelsinger:(1981-06-18)::Irwin Redlener:X; X is
1) 1978-04-03
2) 1946-06-14
3) 1944-08-12
4) 1939-04-14",1944-08-12,2) 1946-06-14,False
287,"Irwin Redlener:(1944-08-12)::Steve Largent:X; X is
1) 1968-09-10
2) 1954-09-28
3) 1953-06-10
4) 1954-01-01",1954-09-28,2) 1954-09-28,True
288,"Steve Largent:(1954-09-28)::Salam Fayyad:X; X is
1) 1952-04-02
2) 1954-08-12
3) 1950-10-27
4) 1970-09-11",1952-04-02,1) 1952-04-02,True
289,"Salam Fayyad:(1952-04-02)::Sherron S Watkins:X; X is
1) 1959-08-28
2) 1953-09-22
3) 1922-10-27
4) 1810-03-01",1959-08-28,1) 1959-08-28,True
290,"Sherron S Watkins:(1959-08-28)::Theo Fleury:X; X is
1) 1945-12-05
2) 1944-05-14
3) 1968-06-29
4) 1971-09-13",1968-06-29,3) 1968-06-29,True
